,seconds_since_previous_pull,HH_ID,roll_ID,roll_type,multiple_pull_flag,starting_time,number_pulled,total_sheets_used,average_sheets_between_pulls,max_sheets_pull,max_min_pull_diff,elapsed_time,average_time_between_pulls,max_time_duration
0,4282.0,A,1200,Small,False,2019-10-29 05:51:42,1,3.9910883965702473,0.0,3.9910883965702473,0.0,0.0,0.0,0.0
0,2394.0,A,1200,Small,False,2019-10-29 07:13:21,1,4.277734768571957,0.0,4.277734768571957,0.0,0.0,0.0,0.0
0,14200.0,A,1200,Small,False,2019-10-29 11:10:01,1,2.3633879998924736,0.0,2.3633879998924736,0.0,0.0,0.0,0.0
0,828.0,A,1200,Small,True,2019-10-29 11:23:49,2,2.9801599901437306,2.6657502643539237,2.6657502643539237,2.351340538564117,4.0,4.0,4.0
0,12312.0,A,1200,Small,False,2019-10-29 14:49:05,1,2.1862777294392517,0.0,2.1862777294392517,0.0,0.0,0.0,0.0
0,6481.0,A,1200,Small,False,2019-10-29 16:37:06,1,3.8837450992662395,0.0,3.8837450992662395,0.0,0.0,0.0,0.0
0,13817.0,A,1200,Small,True,2019-10-29 20:27:23,2,4.472503615425132,2.7719097417930225,2.7719097417930225,1.071315868160913,6.0,6.0,6.0
0,7181.0,A,1200,Small,True,2019-10-29 22:27:10,2,4.894490167045738,0.4570450809536527,4.437445086092086,3.980400005138433,12.0,12.0,12.0
0,974.0000000000001,A,1200,Small,True,2019-10-29 22:43:36,3,10.856527805908803,3.6068368273585234,4.798443970157102,2.3832142855971576,271.0,135.5,214.0
0,5664.0,A,1200,Small,False,2019-10-30 00:22:31,1,2.9773503883003993,0.0,2.9773503883003993,0.0,0.0,0.0,0.0
0,45146.0,A,1200,Small,False,2019-10-30 12:54:57,1,4.57030915760678,0.0,4.57030915760678,0.0,0.0,0.0,0.0
0,486.00000000000006,A,1200,Small,True,2019-10-30 13:03:03,4,9.31050019177899,2.030452779799594,3.2191418523802073,3.2191418523802073,330.0,110.0,161.0
0,631.0,A,1200,Small,False,2019-10-30 13:19:04,1,2.8756347978455103,0.0,2.8756347978455103,0.0,0.0,0.0,0.0
0,15427.000000000002,A,1200,Small,False,2019-10-30 17:36:11,1,4.282187158718532,0.0,4.282187158718532,0.0,0.0,0.0,0.0
0,3856.0000000000005,A,1200,Small,False,2019-10-30 18:40:27,1,4.526313078972612,0.0,4.526313078972612,0.0,0.0,0.0,0.0
0,5447.0,A,1200,Small,True,2019-10-30 20:11:14,2,9.200705881310988,2.491274760259106,6.709431121051881,4.218156360792775,2.0,2.0,2.0
0,1086.0,A,1200,Small,True,2019-10-30 20:29:22,3,10.639448891178795,1.8950543216858367,6.84934024780712,4.958371224426455,3.0,1.5,2.0
0,31537.000000000004,A,1200,Small,False,2019-10-31 05:15:02,1,1.74858378852127,0.0,1.74858378852127,0.0,0.0,0.0,0.0
0,11310.0,A,1200,Small,False,2019-10-31 15:14:33,1,2.0094677691701164,0.0,2.0094677691701164,0.0,0.0,0.0,0.0
0,6396.0,A,1200,Small,False,2019-10-31 17:01:09,1,3.5934056157406045,0.0,3.5934056157406045,0.0,0.0,0.0,0.0
0,645.0,A,1200,Small,False,2019-10-31 17:11:54,1,4.48180016795225,0.0,4.48180016795225,0.0,0.0,0.0,0.0
0,681.0,A,1200,Small,False,2019-10-31 17:23:15,1,5.986908431920201,0.0,5.986908431920201,0.0,0.0,0.0,0.0
0,325.0,A,1200,Small,True,2019-10-31 17:28:40,4,16.44262778228854,4.49408399219499,6.8120059553416885,3.8736824231425526,281.0,93.66666666666667,179.0
0,12359.0,A,1200,Small,True,2019-10-31 20:59:20,4,13.958139868350372,2.4450749543777017,6.622915005217269,6.503916018819033,33.0,11.0,29.000000000000004
0,335.0,A,1200,Small,False,2019-10-31 21:05:28,1,3.4328368834798137,0.0,3.4328368834798137,0.0,0.0,0.0,0.0
0,472.00000000000006,A,1200,Small,True,2019-10-31 21:13:20,2,8.600784657145525,6.136822785398431,6.136822785398431,3.672860913651338,161.0,161.0,161.0
0,12816.0,A,1200,Small,False,2019-11-01 00:49:37,1,3.0812842924868864,0.0,3.0812842924868864,0.0,0.0,0.0,0.0
0,1344.0,A,1200,Small,True,2019-11-01 01:12:01,2,6.9682817848044785,6.9682817848044785,6.9682817848044785,6.9682817848044785,2.0,2.0,2.0
0,32824.0,A,1200,Small,False,2019-11-01 10:19:07,1,2.3238945012846073,0.0,2.3238945012846073,0.0,0.0,0.0,0.0
0,2416.0,A,1200,Small,False,2019-11-01 10:59:23,1,2.196141304232405,0.0,2.196141304232405,0.0,0.0,0.0,0.0
0,747.0,A,1200,Small,False,2019-11-01 11:11:50,1,2.396496171217085,0.0,2.396496171217085,0.0,0.0,0.0,0.0
0,373.0,A,1200,Small,True,2019-11-01 11:18:03,4,21.56081260582392,5.6450030317006155,10.459622553667526,8.519421102490881,135.0,45.0,87.0
0,1159.0,A,1200,Small,True,2019-11-01 11:39:37,3,17.849875956503386,5.336171306518219,7.177533343466947,2.1056394407580035,27.0,13.5,16.0
0,2107.0,A,1200,Small,True,2019-11-01 12:15:11,5,13.858828832103487,2.3491133577045673,4.462375401285216,3.6904033476083096,55.0,13.75,17.0
0,9960.0,A,1200,Small,False,2019-11-01 15:02:06,1,2.4644961250051556,0.0,2.4644961250051556,0.0,0.0,0.0,0.0
0,656.0,A,1200,Small,False,2019-11-01 15:13:02,1,3.341777329995679,0.0,3.341777329995679,0.0,0.0,0.0,0.0
0,10247.0,A,1200,Small,True,2019-11-01 18:03:49,2,4.88760584279482,0.160502365150647,4.727103477644174,4.566601112493527,71.0,71.0,71.0
0,14985.000000000002,A,1200,Small,False,2019-11-01 22:14:45,1,1.6752074918298472,0.0,1.6752074918298472,0.0,0.0,0.0,0.0
0,2000.0000000000002,A,1200,Small,False,2019-11-01 22:48:05,1,3.2952634565400944,0.0,3.2952634565400944,0.0,0.0,0.0,0.0
0,31997.000000000004,A,1200,Small,False,2019-11-02 07:41:22,1,1.849991809271013,0.0,1.849991809271013,0.0,0.0,0.0,0.0
0,5636.0,A,1200,Small,False,2019-11-02 09:15:18,1,3.6279489708755377,0.0,3.6279489708755377,0.0,0.0,0.0,0.0
0,323.0,A,1200,Small,True,2019-11-02 09:20:41,3,4.183441901096534,1.9427241193998965,3.365564268400369,3.0675706061036285,4.0,2.0,2.0
0,13825.0,A,1200,Small,False,2019-11-02 13:11:10,1,3.838325656360708,0.0,3.838325656360708,0.0,0.0,0.0,0.0
0,1508.0,A,1200,Small,False,2019-11-02 13:36:18,1,2.0111530732847966,0.0,2.0111530732847966,0.0,0.0,0.0,0.0
0,71144.0,A,1200,Small,False,2019-11-03 09:22:02,1,2.984455794771186,0.0,2.984455794771186,0.0,0.0,0.0,0.0
0,8029.000000000001,A,1200,Small,False,2019-11-03 11:35:51,1,2.5778431387086775,0.0,2.5778431387086775,0.0,0.0,0.0,0.0
0,10433.0,A,1202,Small,True,2019-10-07 15:44:44,3,4.883042911538346,1.967405664040374,2.8356904194142842,1.887458835956687,230.0,115.0,204.0
0,16018.000000000002,A,1202,Small,True,2019-10-07 20:15:32,2,11.18668660771344,0.4617973667371511,10.724889240976289,10.263091874239137,1.0,1.0,1.0
