HH_ID,Roll_ID,Roll_Type,Timestamp,Time_since_last_pull,Sheets
A,1200,Small,2019-10-29 05:51:42,4282.0,3.9910883965702473
A,1200,Small,2019-10-29 06:33:27,2505.0,0.477179765457671
A,1200,Small,2019-10-29 07:13:21,2394.0,4.277734768571957
A,1200,Small,2019-10-29 11:10:01,14200.0,2.3633879998924736
A,1200,Small,2019-10-29 11:23:49,828.0,0.3144097257898069
A,1200,Small,2019-10-29 11:23:53,4.0,2.6657502643539237
A,1200,Small,2019-10-29 14:49:05,12312.0,2.1862777294392517
A,1200,Small,2019-10-29 16:37:06,6481.0,3.8837450992662395
A,1200,Small,2019-10-29 20:27:23,13817.0,1.7005938736321096
A,1200,Small,2019-10-29 20:27:29,6.0,2.7719097417930225
A,1200,Small,2019-10-29 22:27:10,7181.0,4.437445086092086
A,1200,Small,2019-10-29 22:27:22,12.0,0.4570450809536527
A,1200,Small,2019-10-29 22:43:36,974.0000000000001,3.6428541511917563
A,1200,Small,2019-10-29 22:44:33,57.0,2.4152296845599444
A,1200,Small,2019-10-29 22:48:07,214.0,4.798443970157102
A,1200,Small,2019-10-30 00:22:31,5664.0,2.9773503883003993
A,1200,Small,2019-10-30 12:54:57,45146.0,4.57030915760678
A,1200,Small,2019-10-30 13:03:03,486.00000000000006,3.2191418523802073
A,1200,Small,2019-10-30 13:04:22,79.0,3.0539956698206163
A,1200,Small,2019-10-30 13:05:52,90.0,-0.2900646828284613
A,1200,Small,2019-10-30 13:08:33,161.0,3.0373626695781666
A,1200,Small,2019-10-30 13:19:04,631.0,2.8756347978455103
A,1200,Small,2019-10-30 17:36:11,15427.000000000002,4.282187158718532
A,1200,Small,2019-10-30 18:40:27,3856.0000000000005,4.526313078972612
A,1200,Small,2019-10-30 20:11:14,5447.0,6.709431121051881
A,1200,Small,2019-10-30 20:11:16,2.0,2.491274760259106
A,1200,Small,2019-10-30 20:29:22,1086.0,6.84934024780712
A,1200,Small,2019-10-30 20:29:24,2.0,1.8991396199910073
A,1200,Small,2019-10-30 20:29:25,1.0,1.8909690233806657
A,1200,Small,2019-10-31 05:15:02,31537.000000000004,1.74858378852127
A,1200,Small,2019-10-31 12:06:03,24661.0,-0.13425632496646267
A,1200,Small,2019-10-31 15:14:33,11310.0,2.0094677691701164
A,1200,Small,2019-10-31 17:01:09,6396.0,3.5934056157406045
A,1200,Small,2019-10-31 17:11:54,645.0,4.48180016795225
A,1200,Small,2019-10-31 17:23:15,681.0,5.986908431920201
A,1200,Small,2019-10-31 17:28:40,325.0,2.960375805703572
A,1200,Small,2019-10-31 17:31:39,179.0,2.938323532199136
A,1200,Small,2019-10-31 17:32:44,65.0,6.8120059553416885
A,1200,Small,2019-10-31 17:33:21,37.0,3.7319224890441443
A,1200,Small,2019-10-31 20:59:20,12359.0,6.622915005217269
A,1200,Small,2019-10-31 20:59:23,3.0,2.180625342197523
A,1200,Small,2019-10-31 20:59:52,29.000000000000004,5.035600534537346
A,1200,Small,2019-10-31 20:59:53,1.0,0.11899898639823617
A,1200,Small,2019-10-31 21:05:28,335.0,3.4328368834798137
A,1200,Small,2019-10-31 21:13:20,472.00000000000006,2.463961871747093
A,1200,Small,2019-10-31 21:16:01,161.0,6.136822785398431
A,1200,Small,2019-11-01 00:49:37,12816.0,3.0812842924868864
A,1200,Small,2019-11-01 01:12:01,1344.0,-0.34086419956102143
A,1200,Small,2019-11-01 01:12:03,2.0,6.9682817848044785
A,1200,Small,2019-11-01 10:19:07,32824.0,2.3238945012846073
A,1200,Small,2019-11-01 10:59:23,2416.0,2.196141304232405
A,1200,Small,2019-11-01 11:11:50,747.0,2.396496171217085
A,1200,Small,2019-11-01 11:18:03,373.0,4.625803510722075
A,1200,Small,2019-11-01 11:19:30,87.0,10.459622553667526
